"Ticket ID","Ticket Number",Subject,"Site Name",Province,Municipality,ISP,Project,"Created By",Status,Notes,"Created At","Updated At","Solved Date",Duration
43,F-SMART-2026-0029,"system Down","Abaca Barangay Hall","Nueva Vizcaya","Dupax Del Sur",PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",OPEN,,"2026-04-06 17:31:52","2026-04-06 17:32:57",,1
44,F-SMART-2026-0030,"system Down","Agguirit Elementary School Faculty Building",Cagayan,Amulung,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",OPEN,,"2026-04-06 17:31:52","2026-04-06 17:32:57",,1
45,F-SMART-2026-0031,"system Down","Alfonso Ponce Enrile Memorial Hospital Building 2 - Hallway",Cagayan,Gonzaga,"IT BUSINESS SOLUTIONS","Emergency Procurement","JANET T. CATINOY",OPEN,,"2026-04-06 17:31:52","2026-04-06 17:32:57",,1
40,F-SMART-2026-0026,"NMS DOWN","Pureg Elementary School Gymnasium",Cagayan,Sanchez-Mira,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",OPEN,,"2026-04-06 09:15:06","2026-04-06 17:32:57",,497
41,F-SMART-2026-0027,"NMS DOWN","Patunungan Elementary School ICT BUILDING",Cagayan,"Sta. Ana","We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",OPEN,,"2026-04-06 09:15:06","2026-04-06 17:32:57",,497
42,F-SMART-2026-0028,"NMS DOWN","Mudoc Elementary School (Fuga Island) FFICCCII Building",Cagayan,Aparri,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",OPEN,,"2026-04-06 09:15:06","2026-04-06 17:32:57",,497
37,F-SMART-2026-0023,"Site is Down","Comgang ES",Quirino,Nagtipunan,PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",OPEN,,"2026-04-06 09:11:57","2026-04-06 17:32:57",,501
38,F-SMART-2026-0024,"Site is Down","Baguio Village Elementary School",Quirino,Diffun,PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",OPEN,,"2026-04-06 09:11:57","2026-04-06 17:32:57",,501
39,F-SMART-2026-0025,"Site is Down","Bugkalot Ps",Quirino,Nagtipunan,PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",OPEN,,"2026-04-06 09:11:57","2026-04-06 17:32:57",,501
34,F-SMART-2026-0020,"NMS is Down","Alomanay Elementary School",Isabela,Palanan,PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",OPEN,,"2026-04-06 09:01:50","2026-04-06 17:32:57",,511
35,F-SMART-2026-0021,"NMS is Down","Albano MDRRMO",Isabela,"Delfin Albano",PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",OPEN,,"2026-04-06 09:01:50","2026-04-06 17:32:57",,511
