"Site ID","Project Name","Location Name","Site Name","AP Site Code",ISP,Province,Municipality,Status,"Created At","Updated At","Created By"
1241,"PICS-PP Phase 2","Andabuen Barangay Hall","Andabuen Barangay Hall",PICS-PPph2-R02-158,PHILCOMSAT,Isabela,"Benito Soliven",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1242,"PICS-PP Phase 2","Andabuen National High School","Andabuen National High School",PICS-PPph2-R02-159,PHILCOMSAT,Isabela,"Benito Soliven",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1184,"PICS-PP Phase 2","Andarayan National High School","Andarayan National High School",PICS-PPph2-R02-101,PHILCOMSAT,Cagayan,Solana,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1273,"PICS-PP Phase 2","Angadanan Integrated Community Hospital & RHU Angadanan","Angadanan Integrated Community Hospital & RHU Angadanan",PICS-PPph2-R02-190,PHILCOMSAT,Isabela,Angadanan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1260,"PICS-PP Phase 2","Angadanan Municipal Terminal","Angadanan Municipal Terminal",PICS-PPph2-R02-177,PHILCOMSAT,Isabela,Angadanan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
951,"Emergency Procurement","Aparri Hospital","Aparri Hospital New Building",SINAG-R2-004B,"IT BUSINESS SOLUTIONS",Cagayan,Aparri,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
950,"Emergency Procurement","Aparri Hospital","Aparri Hospital Old Building",SINAG-R2-004A,"IT BUSINESS SOLUTIONS",Cagayan,Aparri,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1047,"Emergency Procurement","Aritao MDRRMO","Aritao MDRRMO MDRRMO Back",SINAG-R2-052B,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Aritao,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1046,"Emergency Procurement","Aritao MDRRMO","Aritao MDRRMO MDRRMO Front",SINAG-R2-052A,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Aritao,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1261,"PICS-PP Phase 2","Aurora Elementary School","Aurora Elementary School",PICS-PPph2-R02-178,PHILCOMSAT,Isabela,Alicia,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1030,"Emergency Procurement","Ayod Integrated School","Ayod IS - Front",SINAG-R2-044A,"IT BUSINESS SOLUTIONS",Isabela,Dinapigue,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1319,"PICS-PP Phase 2","Baan Barangay Hall","Baan Barangay Hall",PICS-PPph2-R02-234,PHILCOMSAT,"Nueva Vizcaya",Aritao,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1171,"PICS-PP Phase 2","Babuyan Claro Barangay Hall","Babuyan Claro Barangay Hall",PICS-PPph2-R02-088,PHILCOMSAT,Cagayan,Calayan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1203,"PICS-PP Phase 2","Baculud National High School","Baculud National High School",PICS-PPph2-R02-120,PHILCOMSAT,Cagayan,Amulung,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1049,"Emergency Procurement","Bagabag MDRRMO","Bagabag MDRRMO Back",SINAG-R2-053B,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Bagabag,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1048,"Emergency Procurement","Bagabag MDRRMO","Bagabag MDRRMO Front",SINAG-R2-053A,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Bagabag,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1276,"PICS-PP Phase 2","Bagong Sikat Barangay Hall","Bagong Sikat Barangay Hall",PICS-PPph2-R02-193,PHILCOMSAT,Isabela,"San Mateo",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1343,"PICS-PP Phase 2","Baguio Village Elementary School","Baguio Village Elementary School",PICS-PPph2-R02-258,PHILCOMSAT,Quirino,Diffun,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1219,"PICS-PP Phase 2","Ballacayu Barangay Hall","Ballacayu Barangay Hall",PICS-PPph2-R02-136,PHILCOMSAT,Isabela,"San Pablo",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1050,"Emergency Procurement","Bambang MDRRMO","Bambang MDRRMO Front",SINAG-R2-054A,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Bambang,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1051,"Emergency Procurement","Bambang MDRRMO","Bambang MDRRMO Side (Covered Court)",SINAG-R2-054B,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Bambang,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1134,"PICS-PP Phase 2","BAMSO (National Museum)","BAMSO (National Museum)",PICS-PPph2-R02-051,PHILCOMSAT,Batanes,Uyugan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1194,"PICS-PP Phase 2","Bangag Integrated School","Bangag Integrated School",PICS-PPph2-R02-111,PHILCOMSAT,Cagayan,Solana,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1161,"PICS-PP Phase 2","Banguian Elementary School","Banguian Elementary School",PICS-PPph2-R02-078,PHILCOMSAT,Cagayan,Abulug,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1262,"PICS-PP Phase 2","Bannawag Barangay Hall","Bannawag Barangay Hall",PICS-PPph2-R02-179,PHILCOMSAT,Isabela,Angadanan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1168,"PICS-PP Phase 2","Baran Barangay Hall","Baran Barangay Hall",PICS-PPph2-R02-085,PHILCOMSAT,Cagayan,Ballesteros,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1133,"PICS-PP Phase 2","Basco Airport","Basco Airport Arrival",PICS-PPph2-R02-050,PHILCOMSAT,Batanes,Basco,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
