"Site ID","Project Name","Location Name","Site Name","AP Site Code",ISP,Province,Municipality,Status,"Created At","Updated At","Created By"
941,"PICS GIDA via LEO Technology","Agguirit Elementary School","Agguirit Elementary School Faculty Building",GIDA-R2-019B,"We Are IT Philippines Inc.",Cagayan,Amulung,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
940,"PICS GIDA via LEO Technology","Agguirit Elementary School","Agguirit Elementary School Grade 6 Building",GIDA-R2-019A,"We Are IT Philippines Inc.",Cagayan,Amulung,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
904,"PICS GIDA via LEO Technology","Alcala West Central School - Cataraoan Annex","Alcala West Central School - Cataraoan Annex GRADE 2",GIDA-R2-001A,"We Are IT Philippines Inc.",Cagayan,Alcala,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
905,"PICS GIDA via LEO Technology","Alcala West Central School - Cataraoan Annex","Alcala West Central School - Cataraoan Annex GRADE 6",GIDA-R2-001B,"We Are IT Philippines Inc.",Cagayan,Alcala,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
1042,"Emergency Procurement","Alfonso Castañeda MDRRMO","Alfonso Castañeda MDRRMO Grounds",SINAG-R2-050A,"IT BUSINESS SOLUTIONS","Nueva Vizcaya","Alfonso Castañeda",REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1043,"Emergency Procurement","Alfonso Castañeda MDRRMO","Alfonso Castañeda MDRRMO Municipal Evacuation - Front",SINAG-R2-050B,"IT BUSINESS SOLUTIONS","Nueva Vizcaya","Alfonso Castañeda",REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
966,"Emergency Procurement","Alfonso Ponce Enrile Memorial Hospital","Alfonso Ponce Enrile Memorial Hospital Building 1 - Lobby",SINAG-R2-012A,"IT BUSINESS SOLUTIONS",Cagayan,Gonzaga,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
967,"Emergency Procurement","Alfonso Ponce Enrile Memorial Hospital","Alfonso Ponce Enrile Memorial Hospital Building 2 - Hallway",SINAG-R2-012B,"IT BUSINESS SOLUTIONS",Cagayan,Gonzaga,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1044,"Emergency Procurement","Ambaguio MDRRMO","Ambaguio MDRRMO Front",SINAG-R2-051A,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Ambaguio,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1045,"Emergency Procurement","Ambaguio MDRRMO","Ambaguio MDRRMO Side",SINAG-R2-051B,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Ambaguio,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
951,"Emergency Procurement","Aparri Hospital","Aparri Hospital New Building",SINAG-R2-004B,"IT BUSINESS SOLUTIONS",Cagayan,Aparri,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
950,"Emergency Procurement","Aparri Hospital","Aparri Hospital Old Building",SINAG-R2-004A,"IT BUSINESS SOLUTIONS",Cagayan,Aparri,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1047,"Emergency Procurement","Aritao MDRRMO","Aritao MDRRMO MDRRMO Back",SINAG-R2-052B,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Aritao,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1046,"Emergency Procurement","Aritao MDRRMO","Aritao MDRRMO MDRRMO Front",SINAG-R2-052A,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Aritao,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1030,"Emergency Procurement","Ayod Integrated School","Ayod IS - Front",SINAG-R2-044A,"IT BUSINESS SOLUTIONS",Isabela,Dinapigue,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
